lon,lat,vs30,vs30measured
172.827,-44.039,760.0,1
172.836,-44.039,760.0,1
172.845,-44.039,760.0,1
172.854,-44.039,760.0,1
172.863,-44.039,760.0,1
172.872,-44.039,760.0,1
172.881,-44.039,760.0,1
172.89,-44.039,760.0,1
172.899,-44.039,760.0,1
172.908,-44.039,760.0,1
172.917,-44.039,760.0,1
172.926,-44.039,760.0,1
172.935,-44.039,760.0,1
172.944,-44.039,760.0,1
172.953,-44.039,760.0,1
172.962,-44.039,760.0,1
172.971,-44.039,760.0,1
172.98,-44.039,760.0,1
172.989,-44.039,760.0,1
172.998,-44.039,760.0,1
173.007,-44.039,760.0,1
173.016,-44.039,760.0,1
173.025,-44.039,760.0,1
173.034,-44.039,760.0,1
173.043,-44.039,760.0,1
173.052,-44.039,760.0,1
173.061,-44.039,760.0,1
173.07,-44.039,760.0,1
173.079,-44.039,760.0,1
173.088,-44.039,760.0,1
173.097,-44.039,760.0,1
173.106,-44.039,760.0,1
173.115,-44.039,760.0,1
173.124,-44.039,760.0,1
173.133,-44.039,760.0,1
173.142,-44.039,760.0,1
173.151,-44.039,760.0,1
173.16,-44.039,760.0,1
173.169,-44.039,760.0,1
173.178,-44.039,760.0,1
173.187,-44.039,760.0,1
173.196,-44.039,760.0,1
173.205,-44.039,760.0,1
173.214,-44.039,760.0,1
173.223,-44.039,760.0,1
173.232,-44.039,760.0,1
173.241,-44.039,760.0,1
173.25,-44.039,760.0,1
173.259,-44.039,760.0,1
173.268,-44.039,760.0,1
173.277,-44.039,760.0,1
173.286,-44.039,760.0,1
173.295,-44.039,760.0,1
173.304,-44.039,760.0,1
173.313,-44.039,760.0,1
173.322,-44.039,760.0,1
173.331,-44.039,760.0,1
173.34,-44.039,760.0,1
173.349,-44.039,760.0,1
173.358,-44.039,760.0,1
173.367,-44.039,760.0,1
173.376,-44.039,760.0,1
173.385,-44.039,760.0,1
173.394,-44.039,760.0,1
172.161,-44.03,760.0,1
172.17,-44.03,760.0,1
172.179,-44.03,760.0,1
172.188,-44.03,760.0,1
172.197,-44.03,760.0,1
172.206,-44.03,760.0,1
172.215,-44.03,760.0,1
172.224,-44.03,760.0,1
172.233,-44.03,760.0,1
172.242,-44.03,760.0,1
172.251,-44.03,760.0,1
172.26,-44.03,760.0,1
172.269,-44.03,760.0,1
172.278,-44.03,760.0,1
172.287,-44.03,760.0,1
172.296,-44.03,760.0,1
172.305,-44.03,760.0,1
172.314,-44.03,760.0,1
172.323,-44.03,760.0,1
172.332,-44.03,760.0,1
172.341,-44.03,760.0,1
172.35,-44.03,760.0,1
172.359,-44.03,760.0,1
172.368,-44.03,760.0,1
172.377,-44.03,760.0,1
172.386,-44.03,760.0,1
172.395,-44.03,760.0,1
172.404,-44.03,760.0,1
172.413,-44.03,760.0,1
172.422,-44.03,760.0,1
172.431,-44.03,760.0,1
172.44,-44.03,760.0,1
172.449,-44.03,760.0,1
172.458,-44.03,760.0,1
172.467,-44.03,760.0,1
172.476,-44.03,760.0,1
172.485,-44.03,760.0,1
172.494,-44.03,760.0,1
