#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.24.1', start_date='2026-03-04T10:33:37', checksum=3862909754"
custom_site_id,lon,lat,gmv_PGA,gsd_PGA,gmv_SA(0.1),gsd_SA(0.1),gmv_SA(0.3),gsd_SA(0.3),gmv_SA(0.5),gsd_SA(0.5),gmv_SA(0.7),gsd_SA(0.7),gmv_SA(1.0),gsd_SA(1.0),gmv_SA(1.5),gsd_SA(1.5)
rb4t3vm3,1.72350E+02,-4.40480E+01,2.51644E-02,1.37439E+00,5.15645E-02,1.36839E+00,5.02436E-02,1.37618E+00,3.57717E-02,1.36823E+00,2.62885E-02,1.36503E+00,1.77254E-02,1.35446E+00,1.02197E-02,1.35610E+00
rb4t6j7c,1.72359E+02,-4.40480E+01,2.53465E-02,1.37469E+00,5.19635E-02,1.36879E+00,5.05989E-02,1.37617E+00,3.60063E-02,1.36819E+00,2.64532E-02,1.36503E+00,1.78315E-02,1.35460E+00,1.02773E-02,1.35650E+00
rb4t6m69,1.72368E+02,-4.40480E+01,2.55258E-02,1.37499E+00,5.23562E-02,1.36919E+00,5.09485E-02,1.37617E+00,3.62371E-02,1.36816E+00,2.66154E-02,1.36503E+00,1.79359E-02,1.35472E+00,1.03339E-02,1.35687E+00
rb4t6t31,1.72377E+02,-4.40480E+01,2.57018E-02,1.37528E+00,5.27420E-02,1.36959E+00,5.12920E-02,1.37617E+00,3.64639E-02,1.36813E+00,2.67747E-02,1.36505E+00,1.80384E-02,1.35485E+00,1.03895E-02,1.35723E+00
rb4t6tr9,1.72386E+02,-4.40480E+01,2.58746E-02,1.37558E+00,5.31207E-02,1.36999E+00,5.16290E-02,1.37617E+00,3.66864E-02,1.36812E+00,2.69310E-02,1.36505E+00,1.81390E-02,1.35496E+00,1.04440E-02,1.35761E+00
rb4t6vq1,1.72395E+02,-4.40480E+01,2.60438E-02,1.37588E+00,5.34915E-02,1.37039E+00,5.19590E-02,1.37619E+00,3.69042E-02,1.36810E+00,2.70840E-02,1.36507E+00,1.82375E-02,1.35510E+00,1.04974E-02,1.35796E+00
rb4t7jkc,1.72404E+02,-4.40480E+01,2.62091E-02,1.37616E+00,5.38540E-02,1.37078E+00,5.22815E-02,1.37620E+00,3.71172E-02,1.36810E+00,2.72336E-02,1.36509E+00,1.83338E-02,1.35522E+00,1.05496E-02,1.35831E+00
rb4t7m73,1.72413E+02,-4.40480E+01,2.63704E-02,1.37645E+00,5.42077E-02,1.37116E+00,5.25962E-02,1.37623E+00,3.73249E-02,1.36809E+00,2.73795E-02,1.36510E+00,1.84278E-02,1.35534E+00,1.06006E-02,1.35865E+00
rb4t7t3c,1.72422E+02,-4.40480E+01,2.65275E-02,1.37673E+00,5.45521E-02,1.37154E+00,5.29026E-02,1.37626E+00,3.75272E-02,1.36809E+00,2.75215E-02,1.36513E+00,1.85192E-02,1.35546E+00,1.06502E-02,1.35898E+00
rb4t7v23,1.72431E+02,-4.40480E+01,2.66800E-02,1.37700E+00,5.48866E-02,1.37191E+00,5.32002E-02,1.37629E+00,3.77236E-02,1.36808E+00,2.76595E-02,1.36515E+00,1.86080E-02,1.35557E+00,1.06983E-02,1.35931E+00
rb4t7vqc,1.72440E+02,-4.40480E+01,2.68279E-02,1.37728E+00,5.52108E-02,1.37228E+00,5.34885E-02,1.37633E+00,3.79139E-02,1.36809E+00,2.77931E-02,1.36516E+00,1.86941E-02,1.35568E+00,1.07450E-02,1.35964E+00
rb4tkjm9,1.72449E+02,-4.40480E+01,2.69707E-02,1.37754E+00,5.55241E-02,1.37263E+00,5.37672E-02,1.37637E+00,3.80978E-02,1.36810E+00,2.79223E-02,1.36519E+00,1.87772E-02,1.35580E+00,1.07901E-02,1.35994E+00
rb4tkmk1,1.72458E+02,-4.40480E+01,2.71084E-02,1.37779E+00,5.58261E-02,1.37297E+00,5.40357E-02,1.37641E+00,3.82750E-02,1.36810E+00,2.80468E-02,1.36522E+00,1.88574E-02,1.35590E+00,1.08335E-02,1.36022E+00
rb4tkt69,1.72467E+02,-4.40480E+01,2.72406E-02,1.37805E+00,5.61162E-02,1.37331E+00,5.42937E-02,1.37645E+00,3.84453E-02,1.36812E+00,2.81664E-02,1.36524E+00,1.89344E-02,1.35601E+00,1.08752E-02,1.36052E+00
rb4tkv31,1.72476E+02,-4.40480E+01,2.73672E-02,1.37828E+00,5.63939E-02,1.37364E+00,5.45406E-02,1.37650E+00,3.86083E-02,1.36813E+00,2.82808E-02,1.36526E+00,1.90080E-02,1.35610E+00,1.09152E-02,1.36079E+00
rb4tkvr9,1.72485E+02,-4.40480E+01,2.74879E-02,1.37851E+00,5.66588E-02,1.37394E+00,5.47761E-02,1.37654E+00,3.87637E-02,1.36814E+00,2.83900E-02,1.36529E+00,1.90783E-02,1.35620E+00,1.09533E-02,1.36105E+00
rb4tmjq3,1.72494E+02,-4.40480E+01,2.76026E-02,1.37873E+00,5.69104E-02,1.37424E+00,5.49998E-02,1.37659E+00,3.89113E-02,1.36816E+00,2.84937E-02,1.36532E+00,1.91452E-02,1.35631E+00,1.09895E-02,1.36130E+00
rb4tmmkc,1.72503E+02,-4.40480E+01,2.77110E-02,1.37893E+00,5.71483E-02,1.37451E+00,5.52113E-02,1.37662E+00,3.90509E-02,1.36817E+00,2.85917E-02,1.36535E+00,1.92084E-02,1.35640E+00,1.10238E-02,1.36154E+00
rb4tmt73,1.72512E+02,-4.40480E+01,2.78129E-02,1.37913E+00,5.73720E-02,1.37478E+00,5.54102E-02,1.37667E+00,3.91821E-02,1.36818E+00,2.86838E-02,1.36536E+00,1.92678E-02,1.35650E+00,1.10560E-02,1.36176E+00
rb4tmv3c,1.72521E+02,-4.40480E+01,2.79082E-02,1.37931E+00,5.75811E-02,1.37503E+00,5.55961E-02,1.37671E+00,3.93048E-02,1.36820E+00,2.87700E-02,1.36539E+00,1.93233E-02,1.35658E+00,1.10861E-02,1.36199E+00
rb4tqj29,1.72530E+02,-4.40480E+01,2.79967E-02,1.37948E+00,5.77753E-02,1.37526E+00,5.57686E-02,1.37675E+00,3.94186E-02,1.36821E+00,2.88499E-02,1.36540E+00,1.93749E-02,1.35666E+00,1.11141E-02,1.36219E+00
rb4tqjr1,1.72539E+02,-4.40480E+01,2.80781E-02,1.37963E+00,5.79541E-02,1.37548E+00,5.59276E-02,1.37679E+00,3.95235E-02,1.36822E+00,2.89236E-02,1.36543E+00,1.94224E-02,1.35673E+00,1.11398E-02,1.36236E+00
rb4tqmm9,1.72548E+02,-4.40480E+01,2.81524E-02,1.37978E+00,5.81172E-02,1.37567E+00,5.60725E-02,1.37682E+00,3.96191E-02,1.36823E+00,2.89907E-02,1.36544E+00,1.94658E-02,1.35680E+00,1.11633E-02,1.36253E+00
rb4tqtk1,1.72557E+02,-4.40480E+01,2.82194E-02,1.37991E+00,5.82642E-02,1.37585E+00,5.62032E-02,1.37685E+00,3.97054E-02,1.36824E+00,2.90513E-02,1.36546E+00,1.95049E-02,1.35687E+00,1.11845E-02,1.36269E+00
rb4tqv69,1.72566E+02,-4.40480E+01,2.82790E-02,1.38002E+00,5.83950E-02,1.37600E+00,5.63195E-02,1.37688E+00,3.97820E-02,1.36825E+00,2.91051E-02,1.36547E+00,1.95396E-02,1.35693E+00,1.12034E-02,1.36283E+00
rb4trj33,1.72575E+02,-4.40480E+01,2.83333E-02,1.38003E+00,5.85138E-02,1.37606E+00,5.64255E-02,1.37686E+00,3.98521E-02,1.36822E+00,2.91544E-02,1.36545E+00,1.95715E-02,1.35696E+00,1.12207E-02,1.36288E+00
rb4trjrc,1.72584E+02,-4.40480E+01,2.83852E-02,1.37984E+00,5.86268E-02,1.37592E+00,5.65270E-02,1.37672E+00,3.99198E-02,1.36815E+00,2.92023E-02,1.36539E+00,1.96027E-02,1.35693E+00,1.12377E-02,1.36278E+00
rb4trmq3,1.72593E+02,-4.40480E+01,2.84280E-02,1.37968E+00,5.87200E-02,1.37580E+00,5.66109E-02,1.37662E+00,3.99757E-02,1.36807E+00,2.92417E-02,1.36533E+00,1.96284E-02,1.35691E+00,1.12518E-02,1.36272E+00
rb4trtkc,1.72602E+02,-4.40480E+01,2.84617E-02,1.37954E+00,5.87935E-02,1.37572E+00,5.66769E-02,1.37652E+00,4.00197E-02,1.36802E+00,2.92728E-02,1.36529E+00,1.96486E-02,1.35689E+00,1.12629E-02,1.36264E+00
rb4trv73,1.72611E+02,-4.40480E+01,2.84862E-02,1.37944E+00,5.88468E-02,1.37565E+00,5.67250E-02,1.37646E+00,4.00516E-02,1.36798E+00,2.92954E-02,1.36525E+00,1.96633E-02,1.35688E+00,1.12710E-02,1.36261E+00
rb4v2j61,1.72620E+02,-4.40480E+01,2.85015E-02,1.37938E+00,5.88801E-02,1.37560E+00,5.67549E-02,1.37642E+00,4.00715E-02,1.36793E+00,2.93095E-02,1.36522E+00,1.96725E-02,1.35686E+00,1.12760E-02,1.36256E+00
rb4v2m29,1.72629E+02,-4.40480E+01,2.85075E-02,1.37935E+00,5.88931E-02,1.37558E+00,5.67667E-02,1.37639E+00,4.00793E-02,1.36792E+00,2.93149E-02,1.36520E+00,1.96762E-02,1.35686E+00,1.12780E-02,1.36255E+00
rb4v2mr1,1.72638E+02,-4.40480E+01,2.85042E-02,1.37935E+00,5.88859E-02,1.37557E+00,5.67603E-02,1.37639E+00,4.00751E-02,1.36792E+00,2.93119E-02,1.36519E+00,1.96743E-02,1.35686E+00,1.12770E-02,1.36257E+00
rb4v2tm9,1.72647E+02,-4.40480E+01,2.84916E-02,1.37938E+00,5.88585E-02,1.37559E+00,5.67357E-02,1.37641E+00,4.00588E-02,1.36794E+00,2.93002E-02,1.36519E+00,1.96669E-02,1.35687E+00,1.12729E-02,1.36259E+00
rb4v2vk3,1.72656E+02,-4.40480E+01,2.84697E-02,1.37946E+00,5.88109E-02,1.37564E+00,5.66930E-02,1.37646E+00,4.00305E-02,1.36797E+00,2.92801E-02,1.36521E+00,1.96539E-02,1.35688E+00,1.12658E-02,1.36263E+00
rb4v3j6c,1.72665E+02,-4.40480E+01,2.84386E-02,1.37955E+00,5.87432E-02,1.37571E+00,5.66322E-02,1.37652E+00,3.99901E-02,1.36801E+00,2.92516E-02,1.36524E+00,1.96354E-02,1.35690E+00,1.12556E-02,1.36268E+00
rb4v3m33,1.72674E+02,-4.40480E+01,2.83983E-02,1.37969E+00,5.86556E-02,1.37580E+00,5.65535E-02,1.37661E+00,3.99378E-02,1.36807E+00,2.92146E-02,1.36528E+00,1.96114E-02,1.35692E+00,1.12425E-02,1.36276E+00
rb4v3mrc,1.72683E+02,-4.40480E+01,2.83490E-02,1.37986E+00,5.85483E-02,1.37591E+00,5.64572E-02,1.37672E+00,3.98737E-02,1.36814E+00,2.91693E-02,1.36533E+00,1.95820E-02,1.35694E+00,1.12264E-02,1.36286E+00
rb4v3tq3,1.72692E+02,-4.40480E+01,2.82944E-02,1.37993E+00,5.84290E-02,1.37592E+00,5.63505E-02,1.37678E+00,3.98030E-02,1.36817E+00,2.91194E-02,1.36535E+00,1.95498E-02,1.35694E+00,1.12089E-02,1.36286E+00
rb4v3vm1,1.72701E+02,-4.40480E+01,2.82370E-02,1.37981E+00,5.83030E-02,1.37576E+00,5.62385E-02,1.37674E+00,3.97292E-02,1.36815E+00,2.90676E-02,1.36533E+00,1.95164E-02,1.35689E+00,1.11908E-02,1.36273E+00
rb4v6j79,1.72710E+02,-4.40480E+01,2.81722E-02,1.37967E+00,5.81605E-02,1.37557E+00,5.61119E-02,1.37670E+00,3.96458E-02,1.36814E+00,2.90090E-02,1.36530E+00,1.94787E-02,1.35683E+00,1.11703E-02,1.36258E+00
rb4v6m61,1.72719E+02,-4.40480E+01,2.81001E-02,1.37952E+00,5.80019E-02,1.37537E+00,5.59711E-02,1.37665E+00,3.95530E-02,1.36812E+00,2.89438E-02,1.36528E+00,1.94367E-02,1.35677E+00,1.11475E-02,1.36243E+00
rb4v6t29,1.72728E+02,-4.40480E+01,2.80207E-02,1.37936E+00,5.78275E-02,1.37514E+00,5.58162E-02,1.37661E+00,3.94508E-02,1.36810E+00,2.88721E-02,1.36525E+00,1.93905E-02,1.35669E+00,1.11225E-02,1.36223E+00
rb4v6tr1,1.72737E+02,-4.40480E+01,2.79344E-02,1.37919E+00,5.76377E-02,1.37490E+00,5.56476E-02,1.37655E+00,3.93396E-02,1.36807E+00,2.87940E-02,1.36522E+00,1.93402E-02,1.35660E+00,1.10952E-02,1.36205E+00
rb4v6vmc,1.72746E+02,-4.40480E+01,2.78411E-02,1.37901E+00,5.74330E-02,1.37465E+00,5.54655E-02,1.37650E+00,3.92196E-02,1.36805E+00,2.87097E-02,1.36520E+00,1.92859E-02,1.35652E+00,1.10658E-02,1.36184E+00
rb4v7jk3,1.72755E+02,-4.40480E+01,2.77412E-02,1.37881E+00,5.72137E-02,1.37438E+00,5.52704E-02,1.37644E+00,3.90909E-02,1.36803E+00,2.86193E-02,1.36517E+00,1.92277E-02,1.35643E+00,1.10343E-02,1.36161E+00
rb4v7m6c,1.72764E+02,-4.40480E+01,2.76347E-02,1.37859E+00,5.69801E-02,1.37410E+00,5.50626E-02,1.37638E+00,3.89539E-02,1.36801E+00,2.85231E-02,1.36512E+00,1.91657E-02,1.35634E+00,1.10006E-02,1.36138E+00
rb4v7t33,1.72773E+02,-4.40480E+01,2.75219E-02,1.37838E+00,5.67326E-02,1.37380E+00,5.48424E-02,1.37633E+00,3.88087E-02,1.36798E+00,2.84211E-02,1.36509E+00,1.91000E-02,1.35624E+00,1.09650E-02,1.36112E+00
rb4v7v21,1.72782E+02,-4.40480E+01,2.74030E-02,1.37815E+00,5.64717E-02,1.37349E+00,5.46103E-02,1.37627E+00,3.86555E-02,1.36796E+00,2.83135E-02,1.36505E+00,1.90307E-02,1.35613E+00,1.09275E-02,1.36085E+00
rb4v7vq9,1.72791E+02,-4.40480E+01,2.72782E-02,1.37790E+00,5.61978E-02,1.37317E+00,5.43666E-02,1.37621E+00,3.84948E-02,1.36794E+00,2.82007E-02,1.36502E+00,1.89580E-02,1.35602E+00,1.08881E-02,1.36058E+00
rb4vkjm1,1.72800E+02,-4.40480E+01,2.71476E-02,1.37766E+00,5.59114E-02,1.37283E+00,5.41119E-02,1.37616E+00,3.83267E-02,1.36792E+00,2.80826E-02,1.36499E+00,1.88820E-02,1.35591E+00,1.08469E-02,1.36030E+00
rb4vkm79,1.72809E+02,-4.40480E+01,2.70116E-02,1.37739E+00,5.56130E-02,1.37248E+00,5.38464E-02,1.37610E+00,3.81516E-02,1.36791E+00,2.79596E-02,1.36495E+00,1.88028E-02,1.35579E+00,1.08039E-02,1.35999E+00
rb4vkt61,1.72818E+02,-4.40480E+01,2.68703E-02,1.37712E+00,5.53031E-02,1.37212E+00,5.35708E-02,1.37606E+00,3.79697E-02,1.36790E+00,2.78318E-02,1.36491E+00,1.87205E-02,1.35567E+00,1.07593E-02,1.35968E+00
rb4vkv2c,1.72827E+02,-4.40480E+01,2.67240E-02,1.37685E+00,5.49822E-02,1.37176E+00,5.32854E-02,1.37601E+00,3.77813E-02,1.36788E+00,2.76995E-02,1.36489E+00,1.86353E-02,1.35554E+00,1.07131E-02,1.35936E+00
rb4vkvr3,1.72836E+02,-4.40480E+01,2.65728E-02,1.37658E+00,5.46509E-02,1.37139E+00,5.29907E-02,1.37598E+00,3.75867E-02,1.36787E+00,2.75628E-02,1.36486E+00,1.85473E-02,1.35542E+00,1.06654E-02,1.35902E+00
rb4vmjmc,1.72845E+02,-4.40480E+01,2.64171E-02,1.37629E+00,5.43094E-02,1.37100E+00,5.26871E-02,1.37595E+00,3.73862E-02,1.36787E+00,2.74220E-02,1.36482E+00,1.84566E-02,1.35529E+00,1.06162E-02,1.35868E+00
rb4vmmk3,1.72854E+02,-4.40480E+01,2.62571E-02,1.37600E+00,5.39586E-02,1.37062E+00,5.23750E-02,1.37592E+00,3.71801E-02,1.36786E+00,2.72772E-02,1.36480E+00,1.83634E-02,1.35516E+00,1.05657E-02,1.35834E+00
rb4vmt6c,1.72863E+02,-4.40480E+01,2.60930E-02,1.37571E+00,5.35987E-02,1.37022E+00,5.20548E-02,1.37589E+00,3.69687E-02,1.36787E+00,2.71288E-02,1.36478E+00,1.82678E-02,1.35504E+00,1.05138E-02,1.35797E+00
rb4vmv39,1.72872E+02,-4.40480E+01,2.59249E-02,1.37541E+00,5.32304E-02,1.36982E+00,5.17271E-02,1.37588E+00,3.67523E-02,1.36787E+00,2.69768E-02,1.36475E+00,1.81699E-02,1.35490E+00,1.04608E-02,1.35762E+00
