#,,"generated_by='OpenQuake engine 3.24.1', start_date='2026-03-04T10:33:37', checksum=3862909754"
custom_site_id,lon,lat
rb4t3yvq,172.35000,-44.03900
rb4t6ngy,172.35900,-44.03900
rb4t6qfw,172.36800,-44.03900
rb4t6wcn,172.37700,-44.03900
rb4t6wzw,172.38600,-44.03900
rb4t6yyn,172.39500,-44.03900
rb4t7nuy,172.40400,-44.03900
rb4t7qgq,172.41300,-44.03900
rb4t7wcy,172.42200,-44.03900
rb4t7ybq,172.43100,-44.03900
rb4t7yyy,172.44000,-44.03900
rb4tknvw,172.44900,-44.03900
rb4tkqun,172.45800,-44.03900
rb4tkwfw,172.46700,-44.03900
rb4tkycn,172.47600,-44.03900
rb4tkyzw,172.48500,-44.03900
rb4tmnyq,172.49400,-44.03900
rb4tmquy,172.50300,-44.03900
rb4tmwgq,172.51200,-44.03900
rb4tmycy,172.52100,-44.03900
rb4tqnbw,172.53000,-44.03900
rb4tqnzn,172.53900,-44.03900
rb4tqqvw,172.54800,-44.03900
rb4tqwun,172.55700,-44.03900
rb4tqyfw,172.56600,-44.03900
rb4trncq,172.57500,-44.03900
rb4trnzy,172.58400,-44.03900
rb4trqyq,172.59300,-44.03900
rb4trwuy,172.60200,-44.03900
rb4trygq,172.61100,-44.03900
rb4v2nfn,172.62000,-44.03900
rb4v2qbw,172.62900,-44.03900
rb4v2qzn,172.63800,-44.03900
rb4v2wvw,172.64700,-44.03900
rb4v2yuq,172.65600,-44.03900
rb4v3nfy,172.66500,-44.03900
rb4v3qcq,172.67400,-44.03900
rb4v3qzy,172.68300,-44.03900
rb4v3wyq,172.69200,-44.03900
rb4v3yvn,172.70100,-44.03900
rb4v6ngw,172.71000,-44.03900
rb4v6qfn,172.71900,-44.03900
rb4v6wbw,172.72800,-44.03900
rb4v6wzn,172.73700,-44.03900
rb4v6yvy,172.74600,-44.03900
rb4v7nuq,172.75500,-44.03900
rb4v7qfy,172.76400,-44.03900
rb4v7wcq,172.77300,-44.03900
rb4v7ybn,172.78200,-44.03900
rb4v7yyw,172.79100,-44.03900
rb4vknvn,172.80000,-44.03900
rb4vkqgw,172.80900,-44.03900
rb4vkwfn,172.81800,-44.03900
rb4vkyby,172.82700,-44.03900
rb4vkyzq,172.83600,-44.03900
rb4vmnvy,172.84500,-44.03900
rb4vmquq,172.85400,-44.03900
rb4vmwfy,172.86300,-44.03900
rb4vmycw,172.87200,-44.03900
rb4vqnbn,172.88100,-44.03900
rb4vqnyw,172.89000,-44.03900
rb4vqqvn,172.89900,-44.03900
rb4vqwgy,172.90800,-44.03900
rb4vqyfq,172.91700,-44.03900
rb4vrnby,172.92600,-44.03900
rb4vrnzq,172.93500,-44.03900
rb4vrqvy,172.94400,-44.03900
rb4vrwuw,172.95300,-44.03900
rb4vrygn,172.96200,-44.03900
rb5j2ncw,172.97100,-44.03900
rb5j2qbn,172.98000,-44.03900
rb5j2qyw,172.98900,-44.03900
rb5j2wvq,172.99800,-44.03900
rb5j2ygy,173.00700,-44.03900
rb5j3nfq,173.01600,-44.03900
rb5j3qby,173.02500,-44.03900
rb5j3qzw,173.03400,-44.03900
rb5j3wyn,173.04300,-44.03900
rb5j3yuw,173.05200,-44.03900
rb5j6ngn,173.06100,-44.03900
rb5j6qcw,173.07000,-44.03900
rb5j6wbq,173.07900,-44.03900
rb5j6wyy,173.08800,-44.03900
rb5j6yvq,173.09700,-44.03900
rb5j7ngy,173.10600,-44.03900
rb5j7qfq,173.11500,-44.03900
rb5j7wcn,173.12400,-44.03900
rb5j7wzw,173.13300,-44.03900
rb5j7yyn,173.14200,-44.03900
rb5jknuw,173.15100,-44.03900
rb5jkqgq,173.16000,-44.03900
rb5jkwcy,173.16900,-44.03900
rb5jkybq,173.17800,-44.03900
rb5jkyyy,173.18700,-44.03900
rb5jmnvq,173.19600,-44.03900
rb5jmqun,173.20500,-44.03900
rb5jmwfw,173.21400,-44.03900
rb5jmycn,173.22300,-44.03900
rb5jmyzw,173.23200,-44.03900
rb5jqnyn,173.24100,-44.03900
rb5jqquy,173.25000,-44.03900
rb5jqwgq,173.25900,-44.03900
rb5jqycy,173.26800,-44.03900
rb5jrnbq,173.27700,-44.03900
rb5jrnzn,173.28600,-44.03900
rb5jrqvw,173.29500,-44.03900
rb5jrwun,173.30400,-44.03900
rb5jryfw,173.31300,-44.03900
rb5m2ncn,173.32200,-44.03900
rb5m2nzy,173.33100,-44.03900
rb5m2qyq,173.34000,-44.03900
rb5m2wuy,173.34900,-44.03900
rb5m2ygq,173.35800,-44.03900
rb5m3ncy,173.36700,-44.03900
rb5m3qbw,173.37600,-44.03900
rb5m3qzn,173.38500,-44.03900
rb5m3wvw,173.39400,-44.03900
rb4mt8ef,172.16100,-44.03000
rb4mtbd6,172.17000,-44.03000
rb4mw08f,172.17900,-44.03000
rb4mw0x6,172.18800,-44.03000
rb4mw2w4,172.19700,-44.03000
rb4mw8sd,172.20600,-44.03000
rb4mwbe4,172.21500,-44.03000
rb4mx09d,172.22400,-44.03000
rb4mx284,172.23300,-44.03000
rb4mx2wf,172.24200,-44.03000
rb4mx8t6,172.25100,-44.03000
rb4mxbef,172.26000,-44.03000
rb4t80d6,172.26900,-44.03000
rb4t8294,172.27800,-44.03000
rb4t82xd,172.28700,-44.03000
rb4t88w4,172.29600,-44.03000
rb4t8bsd,172.30500,-44.03000
rb4t90e4,172.31400,-44.03000
rb4t929f,172.32300,-44.03000
rb4t9886,172.33200,-44.03000
rb4t98wf,172.34100,-44.03000
rb4t9bt6,172.35000,-44.03000
rb4td0ef,172.35900,-44.03000
rb4td2dd,172.36800,-44.03000
rb4td894,172.37700,-44.03000
rb4td8xd,172.38600,-44.03000
rb4tdbw4,172.39500,-44.03000
rb4te0sf,172.40400,-44.03000
rb4te2e6,172.41300,-44.03000
rb4te89f,172.42200,-44.03000
rb4teb86,172.43100,-44.03000
rb4tebwf,172.44000,-44.03000
rb4ts0td,172.44900,-44.03000
rb4ts2s4,172.45800,-44.03000
rb4ts8dd,172.46700,-44.03000
rb4tsb94,172.47600,-44.03000
rb4tsbxd,172.48500,-44.03000
rb4tt0w6,172.49400,-44.03000
rb4tt2sf,172.50300,-44.03000
rb4tt8e6,172.51200,-44.03000
rb4ttb9f,172.52100,-44.03000
rb4tw08d,172.53000,-44.03000
rb4tw0x4,172.53900,-44.03000
rb4tw2td,172.54800,-44.03000
rb4tw8s4,172.55700,-44.03000
rb4twbdd,172.56600,-44.03000
rb4tx096,172.57500,-44.03000
rb4tx0xf,172.58400,-44.03000
rb4tx2w6,172.59300,-44.03000
rb4tx8sf,172.60200,-44.03000
rb4txbe6,172.61100,-44.03000
rb4v80d4,172.62000,-44.03000
rb4v828d,172.62900,-44.03000
rb4v82x4,172.63800,-44.03000
rb4v88td,172.64700,-44.03000
rb4v8bs6,172.65600,-44.03000
rb4v90df,172.66500,-44.03000
rb4v9296,172.67400,-44.03000
rb4v92xf,172.68300,-44.03000
rb4v98w6,172.69200,-44.03000
rb4v9bt4,172.70100,-44.03000
rb4vd0ed,172.71000,-44.03000
rb4vd2d4,172.71900,-44.03000
rb4vd88d,172.72800,-44.03000
