#,,,,,,,,"generated_by='OpenQuake engine 3.24.1', start_date='2026-03-04T10:33:37', checksum=3862909754"
sids,lon,lat,depth,vs30,vs30measured,z1pt0,z2pt5,custom_site_id
59,172.69200,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v3tq3
60,172.70100,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v3vm1
61,172.71000,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v6j79
62,172.71900,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v6m61
63,172.72800,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v6t29
64,172.73700,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v6tr1
65,172.74600,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v6vmc
66,172.75500,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v7jk3
67,172.76400,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v7m6c
68,172.77300,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v7t33
69,172.78200,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v7v21
70,172.79100,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4v7vq9
71,172.80000,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vkjm1
72,172.80900,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vkm79
73,172.81800,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vkt61
74,172.82700,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vkv2c
75,172.83600,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vkvr3
76,172.84500,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vmjmc
77,172.85400,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4vmmk3
